timestamp,cloud_cover,moon_phase,sunrise,sunset,twilight,cloud_cover_0_1,moon_phase_0_1,ambient_lux,is_night
2025-10-05 00:00:00+00:00,0.0,0.0,,,,0.0,0.0,0.131,1
2025-10-05 00:05:00+00:00,0.0,0.0,,,,0.0,0.0,0.126,1
2025-10-05 00:10:00+00:00,0.0,0.0,,,,0.0,0.0,0.121,1
2025-10-05 00:15:00+00:00,0.0,0.0,,,,0.0,0.0,0.117,1
2025-10-05 00:20:00+00:00,0.0,0.0,,,,0.0,0.0,0.114,1
2025-10-05 00:25:00+00:00,0.0,0.0,,,,0.0,0.0,0.11,1
2025-10-05 00:30:00+00:00,0.0,0.0,,,,0.0,0.0,0.108,1
2025-10-05 00:35:00+00:00,0.0,0.0,,,,0.0,0.0,0.105,1
2025-10-05 00:40:00+00:00,0.0,0.0,,,,0.0,0.0,0.103,1
2025-10-05 00:45:00+00:00,0.0,0.0,,,,0.0,0.0,0.102,1
2025-10-05 00:50:00+00:00,0.0,0.0,,,,0.0,0.0,0.101,1
2025-10-05 00:55:00+00:00,0.0,0.0,,,,0.0,0.0,0.1,1
2025-10-05 01:00:00+00:00,0.0,0.0,,,,0.0,0.0,0.1,1
2025-10-05 01:05:00+00:00,0.0,0.0,,,,0.0,0.0,0.1,1
2025-10-05 01:10:00+00:00,0.0,0.0,,,,0.0,0.0,0.101,1
2025-10-05 01:15:00+00:00,0.0,0.0,,,,0.0,0.0,0.102,1
2025-10-05 01:20:00+00:00,0.0,0.0,,,,0.0,0.0,0.103,1
2025-10-05 01:25:00+00:00,0.0,0.0,,,,0.0,0.0,0.105,1
2025-10-05 01:30:00+00:00,0.0,0.0,,,,0.0,0.0,0.108,1
2025-10-05 01:35:00+00:00,0.0,0.0,,,,0.0,0.0,0.11,1
2025-10-05 01:40:00+00:00,0.0,0.0,,,,0.0,0.0,0.114,1
2025-10-05 01:45:00+00:00,0.0,0.0,,,,0.0,0.0,0.117,1
2025-10-05 01:50:00+00:00,0.0,0.0,,,,0.0,0.0,0.121,1
2025-10-05 01:55:00+00:00,0.0,0.0,,,,0.0,0.0,0.126,1
2025-10-05 02:00:00+00:00,0.0,0.0,,,,0.0,0.0,0.131,1
2025-10-05 02:05:00+00:00,0.0,0.0,,,,0.0,0.0,0.136,1
2025-10-05 02:10:00+00:00,0.0,0.0,,,,0.0,0.0,0.142,1
2025-10-05 02:15:00+00:00,0.0,0.0,,,,0.0,0.0,0.148,1
2025-10-05 02:20:00+00:00,0.0,0.0,,,,0.0,0.0,0.154,1
2025-10-05 02:25:00+00:00,0.0,0.0,,,,0.0,0.0,0.161,1
2025-10-05 02:30:00+00:00,0.0,0.0,,,,0.0,0.0,0.169,1
2025-10-05 02:35:00+00:00,0.0,0.0,,,,0.0,0.0,0.176,1
2025-10-05 02:40:00+00:00,0.0,0.0,,,,0.0,0.0,0.184,1
2025-10-05 02:45:00+00:00,0.0,0.0,,,,0.0,0.0,0.193,1
2025-10-05 02:50:00+00:00,0.0,0.0,,,,0.0,0.0,0.202,1
2025-10-05 02:55:00+00:00,0.0,0.0,,,,0.0,0.0,0.211,1
2025-10-05 03:00:00+00:00,0.0,0.0,,,,0.0,0.0,0.221,1
2025-10-05 03:05:00+00:00,0.0,0.0,,,,0.0,0.0,0.231,1
2025-10-05 03:10:00+00:00,0.0,0.0,,,,0.0,0.0,0.241,1
2025-10-05 03:15:00+00:00,0.0,0.0,,,,0.0,0.0,0.252,1
2025-10-05 03:20:00+00:00,0.0,0.0,,,,0.0,0.0,0.263,1
2025-10-05 03:25:00+00:00,0.0,0.0,,,,0.0,0.0,0.274,1
2025-10-05 03:30:00+00:00,0.0,0.0,,,,0.0,0.0,0.286,1
2025-10-05 03:35:00+00:00,0.0,0.0,,,,0.0,0.0,0.298,1
2025-10-05 03:40:00+00:00,0.0,0.0,,,,0.0,0.0,0.311,0
2025-10-05 03:45:00+00:00,0.0,0.0,,,,0.0,0.0,0.323,0
2025-10-05 03:50:00+00:00,0.0,0.0,,,,0.0,0.0,0.336,0
2025-10-05 03:55:00+00:00,0.0,0.0,,,,0.0,0.0,0.35,0
2025-10-05 04:00:00+00:00,0.0,0.0,,,,0.0,0.0,0.364,0
2025-10-05 04:05:00+00:00,0.0,0.0,,,,0.0,0.0,0.378,0
2025-10-05 04:10:00+00:00,0.0,0.0,,,,0.0,0.0,0.392,0
2025-10-05 04:15:00+00:00,0.0,0.0,,,,0.0,0.0,0.407,0
2025-10-05 04:20:00+00:00,0.0,0.0,,,,0.0,0.0,0.421,0
2025-10-05 04:25:00+00:00,0.0,0.0,,,,0.0,0.0,0.437,0
2025-10-05 04:30:00+00:00,0.0,0.0,,,,0.0,0.0,0.452,0
2025-10-05 04:35:00+00:00,0.0,0.0,,,,0.0,0.0,0.468,0
2025-10-05 04:40:00+00:00,0.0,0.0,,,,0.0,0.0,0.484,0
2025-10-05 04:45:00+00:00,0.0,0.0,,,,0.0,0.0,0.5,0
2025-10-05 04:50:00+00:00,0.0,0.0,,,,0.0,0.0,0.516,0
2025-10-05 04:55:00+00:00,0.0,0.0,,,,0.0,0.0,0.533,0
2025-10-05 05:00:00+00:00,0.0,0.0,,,,0.0,0.0,0.55,0
2025-10-05 05:05:00+00:00,0.0,0.0,,,,0.0,0.0,0.567,0
2025-10-05 05:10:00+00:00,0.0,0.0,,,,0.0,0.0,0.584,0
2025-10-05 05:15:00+00:00,0.0,0.0,,,,0.0,0.0,0.602,0
2025-10-05 05:20:00+00:00,0.0,0.0,,,,0.0,0.0,0.62,0
