timestamp,zone_id,lux,power_kW,dimming_percent,status,lux_measured,under_lux
2025-10-05T00:00:00Z,ZN_001,21.9,3.6,20.0,on,21.9,0
2025-10-05T00:05:00Z,ZN_001,21.2,3.6,20.0,on,21.2,0
2025-10-05T00:10:00Z,ZN_001,21.7,3.6,20.0,on,21.7,0
2025-10-05T00:15:00Z,ZN_001,21.3,3.6,20.0,on,21.3,0
2025-10-05T00:20:00Z,ZN_001,21.4,3.6,20.0,on,21.4,0
2025-10-05T00:25:00Z,ZN_001,21.8,3.6,20.0,on,21.8,0
2025-10-05T00:30:00Z,ZN_001,20.8,3.6,20.0,on,20.8,0
2025-10-05T00:35:00Z,ZN_001,21.5,3.6,20.0,on,21.5,0
2025-10-05T00:40:00Z,ZN_001,21.5,3.6,20.0,on,21.5,0
2025-10-05T00:45:00Z,ZN_001,22.0,3.6,20.0,on,22.0,0
2025-10-05T00:50:00Z,ZN_001,21.5,3.6,20.0,on,21.5,0
2025-10-05T00:55:00Z,ZN_001,22.1,3.6,20.0,on,22.1,0
2025-10-05T01:00:00Z,ZN_001,21.5,3.6,20.0,on,21.5,0
2025-10-05T01:05:00Z,ZN_001,22.5,3.6,20.0,on,22.5,0
2025-10-05T01:10:00Z,ZN_001,20.9,3.6,20.0,on,20.9,0
2025-10-05T01:15:00Z,ZN_001,21.8,3.6,20.0,on,21.8,0
2025-10-05T01:20:00Z,ZN_001,21.5,3.6,20.0,on,21.5,0
2025-10-05T01:25:00Z,ZN_001,21.0,3.6,20.0,on,21.0,0
2025-10-05T01:30:00Z,ZN_001,21.5,3.6,20.0,on,21.5,0
2025-10-05T01:35:00Z,ZN_001,21.3,3.6,20.0,on,21.3,0
2025-10-05T01:40:00Z,ZN_001,22.4,3.6,20.0,on,22.4,0
2025-10-05T01:45:00Z,ZN_001,21.1,3.6,20.0,on,21.1,0
2025-10-05T01:50:00Z,ZN_001,22.0,3.6,20.0,on,22.0,0
2025-10-05T01:55:00Z,ZN_001,21.4,3.6,20.0,on,21.4,0
2025-10-05T02:00:00Z,ZN_001,22.0,3.6,20.0,on,22.0,0
2025-10-05T02:05:00Z,ZN_001,21.7,3.6,20.0,on,21.7,0
2025-10-05T02:10:00Z,ZN_001,21.2,3.6,20.0,on,21.2,0
2025-10-05T02:15:00Z,ZN_001,21.7,3.6,20.0,on,21.7,0
2025-10-05T02:20:00Z,ZN_001,21.5,3.6,20.0,on,21.5,0
2025-10-05T02:25:00Z,ZN_001,21.5,3.6,20.0,on,21.5,0
2025-10-05T02:30:00Z,ZN_001,22.4,3.6,20.0,on,22.4,0
2025-10-05T02:35:00Z,ZN_001,21.4,3.6,20.0,on,21.4,0
2025-10-05T02:40:00Z,ZN_001,21.4,3.6,20.0,on,21.4,0
2025-10-05T02:45:00Z,ZN_001,22.1,3.6,20.0,on,22.1,0
