timestamp,price_yuan_per_kwh
2025-01-01 00:00:00+00:00,0.7331
2025-01-01 00:05:00+00:00,0.8038
2025-01-01 00:10:00+00:00,0.7247
2025-01-01 00:15:00+00:00,0.7973
2025-01-01 00:20:00+00:00,0.7651
2025-01-01 00:25:00+00:00,0.8652
2025-01-01 00:30:00+00:00,0.8052
2025-01-01 00:35:00+00:00,0.7532
2025-01-01 00:40:00+00:00,0.7526
2025-01-01 00:45:00+00:00,0.7914
2025-01-01 00:50:00+00:00,0.7369
2025-01-01 00:55:00+00:00,0.7437
2025-01-01 01:00:00+00:00,1.0916
2025-01-01 01:05:00+00:00,1.112
2025-01-01 01:10:00+00:00,1.0789
2025-01-01 01:15:00+00:00,1.103
2025-01-01 01:20:00+00:00,1.1298
2025-01-01 01:25:00+00:00,1.1101
2025-01-01 01:30:00+00:00,1.1038
2025-01-01 01:35:00+00:00,1.1682
2025-01-01 01:40:00+00:00,1.1535
2025-01-01 01:45:00+00:00,1.1366
2025-01-01 01:50:00+00:00,1.143
2025-01-01 01:55:00+00:00,1.1331
2025-01-01 02:00:00+00:00,1.1807
2025-01-01 02:05:00+00:00,1.1246
2025-01-01 02:10:00+00:00,1.1067
2025-01-01 02:15:00+00:00,1.0985
2025-01-01 02:20:00+00:00,1.128
2025-01-01 02:25:00+00:00,1.1447
2025-01-01 02:30:00+00:00,1.103
2025-01-01 02:35:00+00:00,1.0742
2025-01-01 02:40:00+00:00,1.143
2025-01-01 02:45:00+00:00,1.088
2025-01-01 02:50:00+00:00,1.1227
2025-01-01 02:55:00+00:00,1.1505
2025-01-01 03:00:00+00:00,1.1375
2025-01-01 03:05:00+00:00,1.1185
2025-01-01 03:10:00+00:00,1.1203
2025-01-01 03:15:00+00:00,1.1495
2025-01-01 03:20:00+00:00,1.0728
2025-01-01 03:25:00+00:00,1.1465
2025-01-01 03:30:00+00:00,1.1217
2025-01-01 03:35:00+00:00,1.1002
2025-01-01 03:40:00+00:00,1.0855
2025-01-01 03:45:00+00:00,1.1188
2025-01-01 03:50:00+00:00,1.1435
2025-01-01 03:55:00+00:00,1.1528
2025-01-01 04:00:00+00:00,0.7965
2025-01-01 04:05:00+00:00,0.8299
2025-01-01 04:10:00+00:00,0.7658
2025-01-01 04:15:00+00:00,0.8348
2025-01-01 04:20:00+00:00,0.779
2025-01-01 04:25:00+00:00,0.7349
2025-01-01 04:30:00+00:00,0.7737
2025-01-01 04:35:00+00:00,0.7702
2025-01-01 04:40:00+00:00,0.8132
2025-01-01 04:45:00+00:00,0.7462
2025-01-01 04:50:00+00:00,0.7218
2025-01-01 04:55:00+00:00,0.8471
2025-01-01 05:00:00+00:00,0.7861
2025-01-01 05:05:00+00:00,0.7739
2025-01-01 05:10:00+00:00,0.7634
2025-01-01 05:15:00+00:00,0.7732
