station_id,charger_id,max_kw,ramp_kw_per_min,concurrency,is_swap,feeder_id,available
CHS_01,CHG_001,177.9367395749603,40.0,1,0,FDR_1,1
CHS_01,CHG_002,180.6935632411499,40.0,1,0,FDR_1,1
CHS_01,CHG_003,174.17455334129343,40.0,1,0,FDR_1,1
CHS_01,CHG_004,172.69369331249172,40.0,1,0,FDR_1,1
CHS_01,CHG_005,179.79191845281272,40.0,1,0,FDR_1,1
CHS_01,CHG_006,186.9231726353754,40.0,1,0,FDR_1,1
CHS_01,CHG_007,186.36218630115022,40.0,1,0,FDR_1,1
CHS_01,CHG_008,194.9137798608757,40.0,1,0,FDR_1,1
CHS_01,CHG_009,184.4184097878888,40.0,1,0,FDR_1,1
CHS_01,CHG_010,174.6902498094642,40.0,1,0,FDR_1,1
CHS_01,CHG_011,181.9762565775111,40.0,1,0,FDR_1,1
CHS_01,CHG_012,180.2583912804706,40.0,1,0,FDR_1,1
CHS_01,CHG_013,187.64170123739436,40.0,1,0,FDR_1,1
CHS_01,CHG_014,181.77909788796558,40.0,1,0,FDR_1,1
CHS_02,CHG_015,169.6964649016217,40.0,1,0,FDR_1,1
CHS_02,CHG_016,187.70542431488906,40.0,1,0,FDR_1,1
CHS_02,CHG_017,176.49778873269008,40.0,1,0,FDR_1,1
CHS_02,CHG_018,175.92648527202323,40.0,1,0,FDR_1,1
CHS_02,CHG_019,178.24563085477618,40.0,1,0,FDR_1,1
CHS_02,CHG_020,171.41906904521016,40.0,1,0,FDR_1,1
CHS_02,CHG_021,193.2716075008915,40.0,1,0,FDR_1,1
CHS_02,CHG_022,158.44770826738164,40.0,1,0,FDR_1,1
CHS_02,CHG_023,187.55569883036696,40.0,1,0,FDR_1,1
CHS_02,CHG_024,174.69114573542413,40.0,1,0,FDR_1,1
CHS_02,CHG_025,185.47208259628246,40.0,1,0,FDR_1,1
CHS_02,CHG_026,179.26132613000388,40.0,1,0,FDR_1,1
CHS_02,CHG_027,157.05902724830491,40.0,1,0,FDR_1,1
CHS_02,CHG_028,191.371045089083,40.0,1,0,FDR_1,1
CHS_03,CHG_029,173.3563680200964,40.0,1,0,FDR_1,1
CHS_03,CHG_030,171.04967567168381,40.0,1,0,FDR_1,1
CHS_03,CHG_031,189.65477427724394,40.0,1,0,FDR_1,1
CHS_03,CHG_032,168.36211239690564,40.0,1,0,FDR_1,1
CHS_03,CHG_033,190.9901397183849,40.0,1,0,FDR_1,1
CHS_03,CHG_034,169.29371845056028,40.0,1,0,FDR_1,1
CHS_03,CHG_035,185.75822162575815,40.0,1,0,FDR_1,1
CHS_03,CHG_036,187.4240853912002,40.0,1,0,FDR_1,1
CHS_03,CHG_037,165.27623493517046,40.0,1,0,FDR_1,1
CHS_03,CHG_038,179.21352679819728,40.0,1,0,FDR_1,1
CHS_03,CHG_039,174.65042816367333,40.0,1,0,FDR_1,1
