timestamp,price_yuan_per_kwh
2025-01-01 00:00:00,0.606573
2025-01-01 00:05:00,0.592206
2025-01-01 00:10:00,0.601197
2025-01-01 00:15:00,0.602912
2025-01-01 00:20:00,0.605922
2025-01-01 00:25:00,0.592839
2025-01-01 00:30:00,0.603435
2025-01-01 00:35:00,0.59851
2025-01-01 00:40:00,0.600795
2025-01-01 00:45:00,0.582357
2025-01-01 00:50:00,0.599552
2025-01-01 00:55:00,0.593983
2025-01-01 01:00:00,0.586476
2025-01-01 01:05:00,0.592664
2025-01-01 01:10:00,0.595183
2025-01-01 01:15:00,0.597603
2025-01-01 01:20:00,0.603433
2025-01-01 01:25:00,0.589993
2025-01-01 01:30:00,0.575306
2025-01-01 01:35:00,0.590009
2025-01-01 01:40:00,0.605574
2025-01-01 01:45:00,0.605124
2025-01-01 01:50:00,0.612568
2025-01-01 01:55:00,0.606835
2025-01-01 02:00:00,0.592496
2025-01-01 02:05:00,0.600649
2025-01-01 02:10:00,0.609041
2025-01-01 02:15:00,0.610732
2025-01-01 02:20:00,0.600936
2025-01-01 02:25:00,0.603451
2025-01-01 02:30:00,0.617618
2025-01-01 02:35:00,0.609863
2025-01-01 02:40:00,0.578449
2025-01-01 02:45:00,0.588238
2025-01-01 02:50:00,0.601454
2025-01-01 02:55:00,0.603022
2025-01-01 03:00:00,0.622094
2025-01-01 03:05:00,0.616657
2025-01-01 03:10:00,0.596241
2025-01-01 03:15:00,0.597902
2025-01-01 03:20:00,0.606067
2025-01-01 03:25:00,0.600434
2025-01-01 03:30:00,0.611702
2025-01-01 03:35:00,0.591696
2025-01-01 03:40:00,0.598818
2025-01-01 03:45:00,0.598127
2025-01-01 03:50:00,0.59032
2025-01-01 03:55:00,0.585656
2025-01-01 04:00:00,0.595419
2025-01-01 04:05:00,0.603304
2025-01-01 04:10:00,0.604983
2025-01-01 04:15:00,0.607039
2025-01-01 04:20:00,0.602
2025-01-01 04:25:00,0.608346
2025-01-01 04:30:00,0.567141
2025-01-01 04:35:00,0.604603
2025-01-01 04:40:00,0.606053
2025-01-01 04:45:00,0.60205
2025-01-01 04:50:00,0.59644
2025-01-01 04:55:00,0.612078
2025-01-01 05:00:00,0.604774
2025-01-01 05:05:00,0.605024
2025-01-01 05:10:00,0.600672
2025-01-01 05:15:00,0.609599
2025-01-01 05:20:00,0.596733
2025-01-01 05:25:00,0.606644
2025-01-01 05:30:00,0.599381
2025-01-01 05:35:00,0.603738
2025-01-01 05:40:00,0.605537
2025-01-01 05:45:00,0.592042
2025-01-01 05:50:00,0.606555
2025-01-01 05:55:00,0.579688
2025-01-01 06:00:00,0.795382
2025-01-01 06:05:00,0.794777
2025-01-01 06:10:00,0.800892
2025-01-01 06:15:00,0.803082
2025-01-01 06:20:00,0.792887
2025-01-01 06:25:00,0.806225
2025-01-01 06:30:00,0.794155
2025-01-01 06:35:00,0.794074
2025-01-01 06:40:00,0.806747
2025-01-01 06:45:00,0.798812
2025-01-01 06:50:00,0.785549
2025-01-01 06:55:00,0.80538
2025-01-01 07:00:00,0.796878
2025-01-01 07:05:00,0.774747
2025-01-01 07:10:00,0.80403
2025-01-01 07:15:00,0.801386
2025-01-01 07:20:00,0.814864
2025-01-01 07:25:00,0.805475
2025-01-01 07:30:00,0.80011
2025-01-01 07:35:00,0.788624
2025-01-01 07:40:00,0.813237
2025-01-01 07:45:00,0.808535
2025-01-01 07:50:00,0.799325
2025-01-01 07:55:00,0.81785
2025-01-01 08:00:00,0.797645
2025-01-01 08:05:00,0.807069
2025-01-01 08:10:00,0.787119
2025-01-01 08:15:00,0.776964
2025-01-01 08:20:00,0.809519
2025-01-01 08:25:00,0.784986
2025-01-01 08:30:00,0.802271
2025-01-01 08:35:00,0.795119
2025-01-01 08:40:00,0.790847
2025-01-01 08:45:00,0.790935
2025-01-01 08:50:00,0.795685
2025-01-01 08:55:00,0.783509
2025-01-01 09:00:00,1.201098
2025-01-01 09:05:00,1.198696
2025-01-01 09:10:00,1.208522
2025-01-01 09:15:00,1.206729
2025-01-01 09:20:00,1.201318
2025-01-01 09:25:00,1.191845
2025-01-01 09:30:00,1.225407
2025-01-01 09:35:00,1.200527
2025-01-01 09:40:00,1.179221
2025-01-01 09:45:00,1.215688
2025-01-01 09:50:00,1.194006
2025-01-01 09:55:00,1.214441
2025-01-01 10:00:00,1.212473
