timestamp,vehicle_id,power_kw,station_id,charger_id
2025-01-01 00:00:00,AGV_001,132.034,AUTO,AUTO
2025-01-01 00:00:00,AGV_004,147.594,AUTO,AUTO
2025-01-01 00:00:00,AGV_006,159.652,AUTO,AUTO
2025-01-01 00:00:00,AGV_007,132.084,AUTO,AUTO
2025-01-01 00:00:00,AGV_010,147.72,AUTO,AUTO
2025-01-01 00:00:00,AGV_016,133.157,AUTO,AUTO
2025-01-01 00:00:00,AGV_017,139.297,AUTO,AUTO
2025-01-01 00:00:00,AGV_019,140.474,AUTO,AUTO
2025-01-01 00:00:00,AGV_023,142.13,AUTO,AUTO
2025-01-01 00:00:00,AGV_025,158.248,AUTO,AUTO
2025-01-01 00:00:00,AGV_026,128.906,AUTO,AUTO
2025-01-01 00:00:00,AGV_027,147.117,AUTO,AUTO
2025-01-01 00:00:00,AGV_028,132.107,AUTO,AUTO
2025-01-01 00:00:00,AGV_033,142.454,AUTO,AUTO
2025-01-01 00:00:00,AGV_034,136.43,AUTO,AUTO
2025-01-01 00:00:00,AGV_036,135.101,AUTO,AUTO
2025-01-01 00:00:00,AGV_037,150.093,AUTO,AUTO
2025-01-01 00:00:00,AGV_040,139.909,AUTO,AUTO
2025-01-01 00:00:00,AGV_043,141.416,AUTO,AUTO
2025-01-01 00:00:00,AGV_046,164.613,AUTO,AUTO
2025-01-01 00:00:00,AGV_047,158.445,AUTO,AUTO
2025-01-01 00:00:00,AGV_048,144.483,AUTO,AUTO
2025-01-01 00:00:00,AGV_050,120.505,AUTO,AUTO
2025-01-01 00:00:00,AGV_058,134.3,AUTO,AUTO
2025-01-01 00:00:00,AGV_059,133.995,AUTO,AUTO
2025-01-01 00:00:00,AGV_060,160.05,AUTO,AUTO
2025-01-01 00:00:00,AGV_061,136.691,AUTO,AUTO
2025-01-01 00:00:00,AGV_064,133.795,AUTO,AUTO
2025-01-01 00:00:00,AGV_067,148.044,AUTO,AUTO
2025-01-01 00:00:00,AGV_068,135.953,AUTO,AUTO
