timestamp,ambient_temp_C,ambient_rh_pct,wetbulb_C,occ_index,dayofweek,hourofday,is_weekend,cooling_load_kw,n_chillers_on,plr,chws_sp_C,avg_sat_C,chiller_power_kw,chw_pumps_kw,cw_pumps_kw,tower_fans_kw,plant_power_kw,price_yuan_per_kwh,ef_kg_per_kwh,cost_yuan_per_step,carbon_kg_per_step
2025-01-01 00:00:00,6.8,81.4,3.08,0.411,2,8,0,1579.0,2,0.658,8.18,13.31,369.7,42.4,34.7,13.9,460.6,0.808,0.5291,93.04,60.927
2025-01-01 00:15:00,7.34,72.1,1.75,0.371,2,8,0,1554.0,2,0.647,8.21,13.32,363.4,41.2,33.7,13.5,451.8,0.8163,0.529,92.2,59.75
2025-01-01 00:30:00,6.56,89.8,4.52,0.452,2,8,0,1715.9,2,0.715,8.07,13.24,404.5,49.2,40.3,16.1,510.0,0.7826,0.5326,99.78,67.907
2025-01-01 00:45:00,7.18,80.2,3.22,0.353,2,8,0,1467.4,2,0.611,8.28,13.37,341.7,37.3,30.5,12.2,421.8,0.7996,0.5262,84.31,55.484
2025-01-01 01:00:00,7.88,68.5,1.57,0.8,2,9,0,1831.9,2,0.763,7.97,13.18,434.3,55.5,45.4,18.2,553.4,1.1148,0.5241,154.23,72.51
2025-01-01 01:15:00,8.8,69.6,2.71,0.776,2,9,0,1863.6,2,0.777,7.95,13.17,442.5,57.3,46.9,18.8,565.5,1.151,0.5253,162.71,74.26
2025-01-01 01:30:00,8.8,61.0,0.99,0.791,2,9,0,1841.0,2,0.767,7.97,13.18,436.6,56.0,45.8,18.3,556.8,1.1397,0.5279,158.65,73.483
2025-01-01 01:45:00,8.25,78.4,3.92,0.776,2,9,0,2041.1,3,0.567,8.37,13.42,472.9,32.9,26.9,16.1,548.8,1.1019,0.5269,151.17,72.284
2025-01-01 02:00:00,8.67,73.9,3.46,0.927,2,10,0,2075.6,3,0.577,8.35,13.41,481.4,33.8,27.7,16.6,559.4,1.1145,0.5209,155.87,72.852
2025-01-01 02:15:00,8.52,79.5,4.43,1.0,2,10,0,2213.2,3,0.615,8.27,13.36,515.6,37.7,30.8,18.5,602.6,1.1015,0.5181,165.93,78.049
2025-01-01 02:30:00,8.6,63.6,1.31,1.0,2,10,0,2168.7,3,0.602,8.3,13.38,504.5,36.4,29.8,17.9,588.5,1.1126,0.5296,163.69,77.923
2025-01-01 02:45:00,8.17,68.5,1.86,0.996,2,10,0,2137.4,3,0.594,8.31,13.39,496.7,35.5,29.0,17.4,578.7,1.1072,0.5256,160.18,76.031
2025-01-01 03:00:00,8.0,55.0,-0.0,0.77,2,11,0,1966.1,2,0.819,7.86,13.12,469.2,63.5,51.9,20.8,605.3,1.0947,0.5191,165.67,78.565
2025-01-01 03:15:00,9.7,68.6,3.42,0.847,2,11,0,2127.5,3,0.591,8.32,13.39,494.2,35.2,28.8,17.3,575.6,1.1757,0.5271,169.18,75.847
2025-01-01 03:30:00,8.85,65.4,1.93,0.848,2,11,0,2012.0,2,0.838,7.82,13.09,481.2,66.3,54.3,21.7,623.6,1.0977,0.5255,171.12,81.924
